energy_minus_fermi_eV,dos_states_per_eV
-9.990139485808605,8.211835626528416
-9.899989442494167,5.202639103822188
-9.80983939917973,1.9569250789457433
-9.719689355865292,9.900054998670717
-9.629539312550854,2.032408106649878
-9.539389269236414,6.413120266891722
-9.449239225921977,7.278912863479779
-9.359089182607539,12.650613093477292
-9.268939139293101,8.465755724717186
-9.178789095978662,1.8474448058069433
-9.088639052664224,7.203025360308943
-8.998489009349786,1.6141119135611477
-8.908338966035348,3.4942028337785964
-8.81818892272091,5.9762975760854875
-8.728038879406471,4.129939481051838
-8.637888836092033,5.025808240377223
-8.547738792777595,14.188098547825936
-8.457588749463158,12.972995634791642
-8.36743870614872,10.782233891443918
-8.27728866283428,5.408681140585708
-8.187138619519843,9.081571942009031
-8.096988576205405,3.8602470801489717
-8.006838532890967,3.322233249764412
-7.916688489576529,2.1847142079045505
-7.82653844626209,19.430829296511963
-7.736388402947652,13.182509376644898
-7.646238359633214,10.823343741959231
-7.556088316318776,11.082717635201615
-7.465938273004337,11.287820042397023
-7.375788229689899,5.291432111666739
-7.285638186375461,7.243245920775573
-7.195488143061024,5.65789459762168
-7.105338099746586,9.598820710833472
-7.015188056432146,13.06955878677033
-6.9250380131177085,10.329216995197894
-6.834887969803271,7.9211783469675865
-6.744737926488833,14.07736823069425
-6.654587883174395,16.564805060138013
-6.564437839859956,15.001671275974394
-6.474287796545518,5.629208596263447
-6.38413775323108,15.694870222386474
-6.293987709916642,7.476813519551485
-6.203837666602205,11.219982809207513
-6.113687623287765,9.011943551917476
-6.023537579973327,17.541164599469315
-5.9333875366588895,16.299517355845545
-5.843237493344452,7.105933598557185
-5.753087450030012,18.08429642417157
-5.662937406715574,14.823433349786262
-5.572787363401137,8.46070169912078
-5.482637320086699,10.985826251381289
-5.392487276772261,5.73004360140776
-5.302337233457823,8.248255429709937
-5.212187190143386,13.855836272697008
-5.122037146828944,10.62781652573493
-5.0318871035145065,11.563631766297558
-4.941737060200069,10.097137902372243
-4.851587016885631,8.570407581900316
-4.761436973571193,12.23721479511803
-4.6712869302567555,12.686774789210563
-4.581136886942318,2.762936043757712
-4.49098684362788,4.393602345820733
-4.400836800313442,14.258188674151981
-4.310686756999004,16.304032748245145
-4.220536713684563,20.45370119471289
-4.130386670370125,10.79975546648629
-4.0402366270556875,15.687638890119624
-3.9500865837412498,12.601477059979231
-3.859936540426812,9.8358208427968
-3.7697864971123742,9.398880207209201
-3.6796364537979365,5.0384526942902
-3.5894864104834987,7.444990338288206
-3.499336367169061,3.0463117785135205
-3.4091863238546196,4.090187125354823
-3.319036280540182,4.0691284654560045
-3.228886237225744,9.036357176651064
-3.1387361939113063,4.597594603932635
-3.0485861505968685,3.0524787011952497
-2.958436107282431,9.329207547607183
-2.868286063967993,6.610210656361102
-2.7781360206535552,7.977681040524617
-2.6879859773391175,5.361671999405527
-2.5978359340246797,6.356810032549747
-2.5076858907102384,10.390474971205196
-2.4175358473958006,2.90524197719968
-2.327385804081363,3.6769964582292567
-2.237235760766925,4.116289403845358
-2.1470857174524873,1.9465981161359613
-2.0569356741380496,1.5320102696487647
-1.9667856308236118,1.7789138063197725
-1.876635587509174,1.8078343954966578
-1.7864855441947363,0.5495874735404573
-1.696335500880295,2.134716406048048
-1.6061854575658572,3.779771430511079
-1.5160354142514194,0.965495308570616
-1.4258853709369816,11.159459512955072
-1.3357353276225439,7.233388596013334
-1.245585284308106,7.444681852909526
-1.1554352409936683,8.017571867584284
-1.0652851976792306,3.190758014155441
-0.9751351543647928,3.9198046225075016
-0.884985111050355,6.590026701887042
-0.7948350677359137,4.644688288078808
-0.704685024421476,5.669702942184318
-0.6145349811070382,1.0428060331472493
-0.5243849377926004,9.16827061399695
-0.43423489447816266,9.920653329755714
-0.3440848511637249,6.162896731881498
-0.2539348078492871,3.6980435467763737
-0.16378476453484936,0.19880944472160728
-0.07363472122041159,3.9542520804978625
0.016515322094029727,10.884716360323992
0.1066653654084675,3.9751424675390243
0.19681540872290526,1.155458374351936
0.286965452037343,0.0007409380545201468
0.3771154953517808,0.004500614557700073
0.46726553866621856,1.9569896111204066
0.5574155819806563,3.335032709835451
0.6475656252950941,8.361362137831673
0.7377156686095319,1.9898021518218698
0.8278657119239696,2.516845870663121
0.918015755238411,5.935309348954293
1.0081657985528487,0.056099422137119534
1.0983158418672865,9.271701615228765e-07
1.1884658851817242,1.419938512765095e-09
1.278615928496162,0.001378979898812333
1.3687659718105998,2.035221335817562
1.4589160151250375,4.5664468407727465
1.5490660584394753,0.015576712004035497
1.639216101753913,8.075730164103372e-08
1.7293661450683544,1.1500797402189385e-08
1.8195161883827922,0.004896776195281684
1.90966623169723,3.2005403533260375
1.9998162750116677,3.291936609457973
2.0899663183261055,5.46843282750261
2.1801163616405432,1.5745305238945275
2.270266404954981,3.3391847584039898
2.3604164482694188,0.3547989762560083
2.4505664915838565,5.781671274948203e-05
2.5407165348982943,1.4427241697148317e-11
2.6308665782127356,5.502703172410495e-21
2.7210166215271734,3.4975044453967804e-19
2.811166664841611,3.120289564915072e-10
2.901316708156049,0.0004183908015760148
2.9914667514704867,0.8751372354460197
3.0816167947849245,5.738973107744841
3.171766838099362,3.8533045565640025
3.2619168814138,3.7581921319058464
3.3520669247282378,3.6767668453512092
3.442216968042679,0.6369085404661731
3.532367011357117,0.40937866795862876
3.6225170546715546,3.226370961973972
3.7126670979859924,0.67150450999915
3.80281714130043,1.312409222449599
3.892967184614868,1.7318621200587065
3.9831172279293057,1.482217691310247
4.073267271243743,0.05414168272073467
4.163417314558181,1.7937677142741804
4.253567357872619,0.5684381020066582
4.34371740118706,3.291828542336705
4.433867444501498,3.6339494806565833
4.524017487815936,0.1189128460014954
4.614167531130374,0.5418832467563496
4.704317574444811,1.231486526061485
4.794467617759249,1.8140333526708037
4.884617661073687,0.5699506863891792
4.974767704388125,7.019398594329271
5.064917747702562,1.888945149577748
5.155067791017004,1.2446260150984452
5.2452178343314415,13.954202601880155
5.335367877645879,7.677329220425976
5.425517920960317,10.203206724794592
5.515667964274755,6.111053580526125
5.605818007589193,6.489086920858796
5.69596805090363,3.4688702912985194
5.786118094218068,2.5548642117158398
5.876268137532506,4.456646210730908
5.966418180846944,16.6506190877587
6.056568224161385,2.994511990903325
6.146718267475823,11.51113952131833
6.2368683107902605,3.0836445947400115
6.327018354104698,8.509551904370944
6.417168397419136,3.500690243384265
6.507318440733574,7.428387042004147
6.597468484048012,5.659323938237598
6.687618527362449,3.3769399685111012
6.777768570676887,9.827894281384701
6.867918613991328,18.721498879133065
6.958068657305766,10.755715992804989
7.048218700620204,20.67977219066785
7.138368743934642,8.354322018007405
7.2285187872490795,11.003145123209872
7.318668830563517,5.038339241058126
7.408818873877955,2.6062416693294193
7.498968917192393,10.42967613091927
7.5891189605068305,15.827515605097037
7.679269003821268,17.54161809306453
7.76941904713571,7.306350539426875
7.859569090450147,19.99000994792613
7.949719133764585,13.109962916686715
8.039869177079023,20.747571328675377
8.13001922039346,2.9749180120243164
8.220169263707898,22.225549482471255
8.310319307022336,9.845406376879621
8.400469350336774,20.69768845252292
8.490619393651212,18.356906201067368
8.580769436965653,10.879252056088589
8.67091948028009,8.632966615245897
8.761069523594529,18.211962384947157
8.851219566908966,17.870248521031453
8.941369610223404,14.04636508024098
9.031519653537842,19.188218839099545
9.12166969685228,18.46279594969853
9.211819740166717,14.147263726448095
9.301969783481155,10.826755048986845
9.392119826795593,14.80840968770807
9.482269870110034,20.495786392492437
9.572419913424472,10.474021545669432
9.66256995673891,9.134867990788887
9.752720000053348,6.1791652323048964
9.842870043367785,6.5090168362828145
9.933020086682223,16.72983183017537
