z_A,planar_electrostatic_potential_eV
0.0,0.63793486
0.10867288810842371,0.63793504
0.21734577621684742,0.6379356
0.32601866432527116,0.63793576
0.43469155243369484,0.6379359
0.5433644405421185,0.6379382
0.6520373286505423,0.6379384
0.760710216758966,0.63793856
0.8693831048673897,0.63793916
0.9780559929758134,0.63793933
1.086728881084237,0.63793945
1.1954017691926608,0.6379396
1.3040746573010846,0.6379398
1.4127475454095082,0.6379404
1.521420433517932,0.6379406
1.6300933216263556,0.63794297
1.7387662097347794,0.6379432
1.8474390978432031,0.6379438
1.9561119859516267,0.63794404
2.0647848740600505,0.63795185
2.173457762168474,0.6379538
2.282130650276898,0.63795435
2.3908035383853217,0.6379547
2.4994764264937452,0.63795704
2.6081493146021693,0.6379574
2.716822202710593,0.63795805
2.8254950908190164,0.6379584
2.93416797892744,0.63798165
3.042840867035864,0.63798195
3.1515137551442876,0.63798267
3.260186643252711,0.6379851
3.368859531361135,0.63798535
3.4775324194695587,0.63798606
3.5862053075779823,0.6379921
3.6948781956864063,0.637996
3.80355108379483,0.6379967
3.9122239719032534,0.63799816
4.0208968600116775,0.6379995
4.129569748120101,0.63800025
4.238242636228525,0.6380005
4.346915524336948,0.6380008
4.455588412445372,0.6380015
4.564261300553796,0.63800406
4.67293418866222,0.63800466
4.781607076770643,0.6380052
4.890279964879067,0.6380148
4.9989528529874905,0.63801557
5.107625741095914,0.6380174
5.2162986292043385,0.6380185
5.324971517312762,0.6380193
5.433644405421186,0.63804275
5.542317293529609,0.6380436
5.650990181638033,0.6380461
5.759663069746456,0.63804674
5.86833595785488,0.63804746
5.977008845963304,0.63805705
6.085681734071728,0.6380578
6.1943546221801515,0.63806045
6.303027510288575,0.6380613
6.411700398396999,0.63806164
6.520373286505422,0.6380624
6.629046174613847,0.638065
6.73771906272227,0.6380659
6.846391950830694,0.6380717
6.955064838939117,0.63807625
7.063737727047541,0.6380778
7.172410615155965,0.6380797
7.281083503264388,0.6380856
7.389756391372813,0.6381041
7.498429279481236,0.6381058
7.60710216758966,0.6381078
7.715775055698083,0.63811386
7.824447943806507,0.6381186
7.9331208319149304,0.6381213
8.041793720023355,0.6381222
8.150466608131778,0.6381227
8.259139496240202,0.6381235
8.367812384348627,0.63812625
8.47648527245705,0.63812715
8.585158160565474,0.63813704
8.693831048673896,0.63813865
8.80250393678232,0.6381408
8.911176824890743,0.63815516
9.019849712999168,0.6381659
9.128522601107592,0.63816774
9.237195489216015,0.6381725
9.34586837732444,0.63817835
9.454541265432862,0.63818103
9.563214153541287,0.63818264
9.67188704164971,0.63818437
9.780559929758134,0.63818735
9.889232817866558,0.63819456
9.997905705974981,0.6382007
10.106578594083405,0.63820577
10.215251482191828,0.63820904
10.323924370300253,0.6382145
10.432597258408677,0.6382188
10.5412701465171,0.6382244
10.649943034625524,0.63822925
10.758615922733947,0.63823414
10.867288810842371,0.6382399
10.975961698950794,0.63824457
11.084634587059218,0.63824934
11.193307475167643,0.638255
11.301980363276066,0.63826025
11.41065325138449,0.63826513
11.519326139492913,0.6382716
11.627999027601337,0.6382759
11.73667191570976,0.6382824
11.845344803818184,0.63828784
11.954017691926609,0.6382935
12.062690580035031,0.6382981
12.171363468143456,0.63830423
12.280036356251879,0.63830364
12.388709244360303,0.6383017
12.497382132468726,0.6382903
12.60605502057715,0.6382246
12.714727908685575,0.63798195
12.823400796793997,0.6373129
12.932073684902422,0.635725
13.040746573010845,0.6322985
13.149419461119269,0.62545717
13.258092349227693,0.6126489
13.366765237336116,0.5899274
13.47543812544454,0.55141884
13.584111013552963,0.48862758
13.692783901661388,0.38948032
13.80145678976981,0.23702596
13.910129677878235,0.007664375
14.01880256598666,-0.3312321
14.127475454095082,-0.82419014
14.236148342203506,-1.5320661
14.34482123031193,-2.5346217
14.453494118420354,-3.9437783
14.562167006528776,-5.8934636
14.6708398946372,-8.357684
14.779512782745625,-11.024828
14.888185670854048,-13.4651375
14.996858558962472,-15.293258
15.105531447070895,-16.265955
15.21420433517932,-16.439838
15.322877223287744,-16.211815
15.431550111396167,-16.071577
15.540222999504591,-16.28346
15.648895887613014,-16.828362
15.757568775721438,-17.407791
15.866241663829861,-17.58201
15.974914551938285,-17.119108
16.08358744004671,-16.148104
16.192260328155132,-15.074745
16.300933216263555,-14.432311
16.40960610437198,-14.598609
16.518278992480404,-15.47934
16.626951880588827,-16.586395
16.735624768697253,-17.392853
16.844297656805676,-17.552776
16.9529705449141,-17.037489
17.06164343302252,-16.15896
17.170316321130947,-15.431152
17.27898920923937,-15.305085
17.387662097347793,-15.872811
17.49633498545622,-16.803793
17.60500787356464,-17.573368
17.713680761673064,-17.769945
17.822353649781487,-17.284521
17.931026537889913,-16.3609
18.039699425998336,-15.483195
18.14837231410676,-15.156891
18.257045202215185,-15.583737
18.365718090323607,-16.509
18.47439097843203,-17.411652
18.583063866540453,-17.826147
18.69173675464888,-17.546951
18.8004096427573,-16.724493
18.909082530865724,-15.794651
19.01775541897415,-15.285892
19.126428307082573,-15.507623
19.235101195190996,-16.32686
19.34377408329942,-17.266794
19.452446971407845,-17.822895
19.561119859516268,-17.707525
19.66979274762469,-16.979618
19.778465635733117,-16.015736
19.88713852384154,-15.346134
19.995811411949962,-15.370143
20.104484300058385,-16.074017
20.21315718816681,-17.04141
20.321830076275234,-17.744305
20.430502964383656,-17.820742
20.539175852492082,-17.232655
20.647848740600505,-16.284575
20.756521628708928,-15.487686
20.865194516817354,-15.309044
20.973867404925777,-15.858084
21.0825402930342,-16.80483
21.191213181142622,-17.618372
21.29988606925105,-17.874062
21.40855895735947,-17.4396
21.517231845467894,-16.538067
21.62590473357632,-15.64463
21.734577621684743,-15.271261
21.843250509793165,-15.644599
21.951923397901588,-16.538034
22.060596286010014,-17.439598
22.169269174118437,-17.874065
22.27794206222686,-17.618404
22.386614950335286,-16.804865
22.49528783844371,-15.858115
22.60396072655213,-15.309055
22.712633614660554,-15.487669
22.82130650276898,-16.284557
22.929979390877403,-17.232643
23.038652278985825,-17.820776
23.14732516709425,-17.744373
23.255998055202674,-17.041464
23.364670943311097,-16.074097
23.47334383141952,-15.370184
23.582016719527946,-15.346143
23.69068960763637,-16.01572
23.79936249574479,-16.979624
23.908035383853218,-17.707577
24.01670827196164,-17.822996
24.125381160070063,-17.266975
24.234054048178486,-16.327023
24.342726936286912,-15.507774
24.451399824395335,-15.286003
24.560072712503757,-15.794698
24.668745600612183,-16.72454
24.777418488720606,-17.547037
24.88609137682903,-17.826305
24.99476426493745,-17.411896
25.103437153045878,-16.509272
25.2121100411543,-15.583992
25.320782929262723,-15.157106
25.42945581737115,-15.48337
25.538128705479572,-16.361025
25.646801593587995,-17.284693
25.75547448169642,-17.770153
25.864147369804844,-17.573666
25.972820257913266,-16.804165
26.08149314602169,-15.873187
26.190166034130115,-15.305444
26.298838922238538,-15.431488
26.40751181034696,-16.159264
26.516184698455387,-17.037766
26.62485758656381,-17.553102
26.733530474672232,-17.393192
26.842203362780655,-16.586773
26.95087625088908,-15.479745
27.059549138997504,-14.599072
27.168222027105926,-14.432804
27.276894915214353,-15.0752
27.385567803322775,-16.148571
27.494240691431198,-17.11954
27.60291357953962,-17.58243
27.711586467648047,-17.408257
27.82025935575647,-16.828869
27.928932243864892,-16.284063
28.03760513197332,-16.072212
28.14627802008174,-16.212414
28.254950908190164,-16.440323
28.363623796298587,-16.266233
28.472296684407013,-15.293317
28.580969572515436,-13.465
28.68964246062386,-11.024619
28.798315348732284,-8.357446
28.906988236840707,-5.8933187
29.01566112494913,-3.9437294
29.124334013057553,-2.5346687
29.23300690116598,-1.5321833
29.3416797892744,-0.82435596
29.450352677382824,-0.33143523
29.55902556549125,0.007435468
29.667698453599673,0.23677935
29.776371341708096,0.38922194
29.88504422981652,0.48836216
29.993717117924945,0.5511498
30.102390006033367,0.5896559
30.21106289414179,0.61237854
30.319735782250216,0.6251854
30.42840867035864,0.63203
30.53708155846706,0.63545585
30.645754446575488,0.637048
30.75442733468391,0.63771814
30.863100222792333,0.637962
30.971773110900756,0.6380308
31.080445999009182,0.63804436
31.189118887117605,0.6380488
31.297791775226028,0.63805103
31.406464663334454,0.6380472
31.515137551442876,0.6380449
31.6238104395513,0.63804257
31.732483327659722,0.63803905
31.841156215768148,0.6380343
31.94982910387657,0.6380315
32.058501991985,0.63802886
32.16717488009342,0.6380251
32.27584776820184,0.638022
32.384520656310265,0.6380183
32.49319354441869,0.6380167
32.60186643252711,0.6380137
32.71053932063554,0.63801116
32.81921220874396,0.6380075
32.927885096852386,0.6380051
33.03655798496081,0.6380029
33.14523087306923,0.6380002
33.253903761177654,0.6379976
33.362576649286076,0.6379943
