z_A,planar_electrostatic_potential_eV
0.0,-0.9421408
0.10867288810842371,-0.9421385
0.21734577621684742,-0.94213545
0.32601866432527116,-0.94212663
0.43469155243369484,-0.9420997
0.5433644405421185,-0.94209063
0.6520373286505423,-0.9420877
0.760710216758966,-0.9420655
0.8693831048673897,-0.94205755
0.9780559929758134,-0.9420317
1.086728881084237,-0.9420264
1.1954017691926608,-0.94201744
1.3040746573010846,-0.94201595
1.4127475454095082,-0.942007
1.521420433517932,-0.9420039
1.6300933216263556,-0.9419757
1.7387662097347794,-0.9419678
1.8474390978432031,-0.94194555
1.9561119859516267,-0.94194096
2.0647848740600505,-0.9419332
2.173457762168474,-0.94190496
2.282130650276898,-0.9418971
2.3908035383853217,-0.94189435
2.4994764264937452,-0.94188946
2.6081493146021693,-0.9418819
2.716822202710593,-0.94185364
2.8254950908190164,-0.9418457
2.93416797892744,-0.94182324
3.042840867035864,-0.941814
3.1515137551442876,-0.9418107
3.260186643252711,-0.94178236
3.368859531361135,-0.94177324
3.4775324194695587,-0.94177145
3.5862053075779823,-0.9417622
3.6948781956864063,-0.94173384
3.80355108379483,-0.9417251
3.9122239719032534,-0.9417213
4.0208968600116775,-0.94169873
4.129569748120101,-0.9416895
4.238242636228525,-0.94166106
4.346915524336948,-0.94165283
4.455588412445372,-0.94164973
4.564261300553796,-0.9416406
4.67293418866222,-0.94161224
4.781607076770643,-0.9416062
4.890279964879067,-0.94159925
4.9989528529874905,-0.9415765
5.107625741095914,-0.9415673
5.2162986292043385,-0.9415386
5.324971517312762,-0.94152915
5.433644405421186,-0.94152665
5.542317293529609,-0.9415179
5.650990181638033,-0.94148916
5.759663069746456,-0.94147974
5.86833595785488,-0.94145703
5.977008845963304,-0.9414477
6.085681734071728,-0.9414189
6.1943546221801515,-0.94140935
6.303027510288575,-0.94140613
6.411700398396999,-0.941397
6.520373286505422,-0.9413754
6.629046174613847,-0.941361
6.73771906272227,-0.9413486
6.846391950830694,-0.94133097
6.955064838939117,-0.9413204
7.063737727047541,-0.94129324
7.172410615155965,-0.9412843
7.281083503264388,-0.9412804
7.389756391372813,-0.9412688
7.498429279481236,-0.941241
7.60710216758966,-0.94122607
7.715775055698083,-0.9412071
7.824447943806507,-0.94118357
7.9331208319149304,-0.94116634
8.041793720023355,-0.941162
8.150466608131778,-0.9411524
8.259139496240202,-0.9411238
8.367812384348627,-0.94111377
8.47648527245705,-0.9410909
8.585158160565474,-0.9410812
8.693831048673896,-0.9410522
8.80250393678232,-0.9410423
8.911176824890743,-0.94103825
9.019849712999168,-0.94102675
9.128522601107592,-0.940998
9.237195489216015,-0.9409818
9.34586837732444,-0.9409681
9.454541265432862,-0.9409461
9.563214153541287,-0.94092935
9.67188704164971,-0.9409173
9.780559929758134,-0.94089913
9.889232817866558,-0.9408802
9.997905705974981,-0.94086486
10.106578594083405,-0.940849
10.215251482191828,-0.94083226
